Serial number,Time,Status,EacToday(kWh),EacTotal(kWh),Vpv1(V),Vpv2(V),Vpv3(V),Vpv4(V),Vpv5(V),Vpv6(V),Vpv7(V),Vpv8(V),Vpv9(V),Vpv10(V),Vpv11(V),Vpv12(V),Vpv13(V),Vpv14(V),Vpv15(V),Vpv16(V),Ipv1(A),Ipv2(A),Ipv3(A),Ipv4(A),Ipv5(A),Ipv6(A),Ipv7(A),Ipv8(A),Ipv9(A),Ipv10(A),Ipv11(A),Ipv12(A),Ipv13(A),Ipv14(A),Ipv15(A),Ipv16(A),Ppv1(W),Ppv2(W),Ppv3(W),Ppv4(W),Ppv5(W),Ppv6(W),Ppv7(W),Ppv8(W),Ppv9(W),Ppv10(W),Ppv11(W),Ppv12(W),Ppv13(W),Ppv14(W),Ppv15(W),Ppv16(W),Ppv(W),EpvToday(kWh),EpvTotal(kWh),TimeTotal(H),VacRS(V),VacST(V),VacTR(V),IacR(A),IacS(A),IacT(A),PacR(VA),PacS(VA),PacT(VA),VacR(V),VacS(V),VacT(V),Fac(Hz),Pac(W),PF,+BUS(V),-BUS(V),INVTemp(℃),AMTemp1(℃),BTTemp(℃),OUTTemp(℃),AMTemp2(℃),Vstr1(V),Vstr2(V),Vstr3(V),Vstr4(V),Vstr5(V),Vstr6(V),Vstr7(V),Vstr8(V),Vstr9(V),Vstr10(V),Vstr11(V),Vstr12(V),Vstr13(V),Vstr14(V),Vstr15(V),Vstr16(V),Vstr17(V),Vstr18(V),Vstr19(V),Vstr20(V),Vstr21(V),Vstr22(V),Vstr23(V),Vstr24(V),Vstr25(V),Vstr26(V),Vstr27(V),Vstr28(V),Vstr29(V),Vstr30(V),Vstr31(V),Vstr32(V),Istr1(A),Istr2(A),Istr3(A),Istr4(A),Istr5(A),Istr6(A),Istr7(A),Istr8(A),Istr9(A),Istr10(A),Istr11(A),Istr12(A),Istr13(A),Istr14(A),Istr15(A),Istr16(A),Istr17(A),Istr18(A),Istr19(A),Istr20(A),Istr21(A),Istr22(A),Istr23(A),Istr24(A),Istr25(A),Istr26(A),Istr27(A),Istr28(A),Istr29(A),Istr30(A),Istr31(A),Istr32(A),PIDStatus,Vpid1(V),Vpid2(V),Vpid3(V),Vpid4(V),Vpid5(V),Vpid6(V),Vpid7(V),Vpid8(V),Vpid9(V),Vpid10(V),Vpid11(V),Vpid12(V),Vpid13(V),Vpid14(V),Vpid15(V),Vpid(V),Ipid1(mA),Ipid2(mA),Ipid3(mA),Ipid4(mA),Ipid5(mA),Ipid6(mA),Ipid7(mA),Ipid8(mA),Ipid9(mA),Ipid10(mA),Ipid11(mA),Ipid12(mA),Ipid13(mA),Ipid14(mA),Ipid15(mA),Ipid16(mA),PidFaultCode,FaultCode,FaultBit,Subcode(fault/warn),WarnCode,WarnBit,StrUnmatch,StrUnblance,StrBreak,WarnValue1,WarnValue2,WarnValue3,FaultValue,DerateMode,PV ISO(KΩ),R_DCI(mA),S_DCI(mA),T_DCI(mA),PID_BUS(V),GFCI(mA),SVG/APF Status,CT_I_R(A),CT_I_S(A),CT_I_T(A),CT_Q_R(Var),CT_Q_S(Var),CT_Q_T(Var),CT_HAR_I_R(A),CT_HAR_I_S(A),CT_HAR_I_T(A),COMP_Q_R(Var),COMP_Q_S(Var),COMP_Q_T(Var),COMP_HAR_I_R(A),COMP_HAR_I_S(A),COMP_HAR_I_T(A),Debug1,Debug2,Debug3,ReactPower(Var),ReactPowerMax(Var),ReactPower_Total(kWh),isAgain,AfciStatus,StrengthPv1,StrengthPv2,Pstr1(W),Pstr2(W),Pstr3(W),Pstr4(W),Pstr5(W),Pstr6(W),Pstr7(W),Pstr8(W),Pstr9(W),Pstr10(W),Pstr11(W),Pstr12(W),Pstr13(W),Pstr14(W),Pstr15(W),Pstr16(W),Pstr17(W),Pstr18(W),Pstr19(W),Pstr20(W),Pstr21(W),Pstr22(W),Pstr23(W),Pstr24(W),Pstr25(W),Pstr26(W),Pstr27(W),Pstr28(W),Pstr29(W),Pstr30(W),Pstr31(W),Pstr32(W),Total_String_Power(W),Conversion_Efficiency(%),String_Power_CV(%),Temp_Range(℃)
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.3,54.3,54.4,54.6,54.2,54.3,54.9,54.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.0,381.8,375.7,0.0,0.0,0.0,0.0,0.0,0.0,220.2,221.7,217.6,50.0,0.0,1,0.0,0.0,33.6,43.4,34.2,0,34.9,54.5,54.5,54.5,54.5,54.3,54.3,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.5,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，75,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.4
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.4,54.3,54.4,54.6,54.2,54.3,54.9,54.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.3,381.6,375.9,0.0,0.0,0.0,0.0,0.0,0.0,220.4,221.7,217.6,50.0,0.0,1,0.0,0.0,33.6,43.4,34.2,0,34.9,54.5,54.5,54.5,54.5,54.3,54.3,54.2,54.2,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.6,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，9,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.4
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.3,54.3,54.4,54.6,54.2,54.3,54.9,54.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.4,381.6,375.9,0.0,0.0,0.0,0.0,0.0,0.0,220.5,221.8,217.6,49.9,0.0,1,0.0,0.0,33.6,43.4,34.1,0,34.8,54.5,54.5,54.5,54.5,54.3,54.3,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.7,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，97,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.4
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.4,54.3,54.4,54.6,54.2,54.3,54.9,54.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,565.5,10805.9,246.9,384.9,381.2,375.5,0.0,0.0,0.0,0.0,0.0,0.0,220.2,221.5,217.4,50.0,0.0,1,0.0,0.0,33.5,43.3,34.1,0,34.8,54.5,54.5,54.5,54.5,54.3,54.3,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.7,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.7,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，95,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.3
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.3,54.3,54.4,54.6,54.2,54.3,54.9,54.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.4,381.7,375.9,0.0,0.0,0.0,0.0,0.0,0.0,220.5,221.8,217.6,50.0,0.0,1,0.0,0.0,33.5,43.3,34.1,0,34.7,54.5,54.5,54.5,54.5,54.3,54.3,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.6,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，30,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.3
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.3,54.3,54.4,54.6,54.2,54.3,54.9,54.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.5,382.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,220.5,221.9,217.8,50.0,0.0,1,0.0,0.0,33.5,43.3,34.1,0,34.7,54.5,54.5,54.5,54.5,54.3,54.3,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.5,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，44,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.3
GKLKE8L016,,Standby,637.2,12177.5,54.6,54.5,54.4,54.3,54.4,54.6,54.2,54.3,54.9,54.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,565.5,10805.9,246.9,386.0,382.3,376.6,0.0,0.0,0.0,0.0,0.0,0.0,220.8,222.1,218.0,50.0,0.0,1,0.0,0.0,33.5,43.2,34.0,0,34.6,54.6,54.6,54.5,54.5,54.4,54.4,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.5,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.7,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，80,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.2
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.4,54.3,54.4,54.6,54.2,54.3,54.9,54.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.8,382.4,376.5,0.0,0.0,0.0,0.0,0.0,0.0,220.7,222.1,218.0,50.0,0.0,1,0.0,0.0,33.4,43.2,34.0,0,34.6,54.6,54.6,54.5,54.5,54.4,54.4,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.5,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.7,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，53,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.2
GKLKE8L016,,Standby,637.2,12177.5,54.5,54.5,54.4,54.3,54.4,54.6,54.2,54.3,54.9,54.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.6,382.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,220.5,222.0,217.7,50.0,0.0,1,0.0,0.0,33.4,43.2,34.0,0,34.6,54.6,54.6,54.5,54.5,54.4,54.4,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.6,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.7,500.7,500.7,500.7,500.7,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，26,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.2
GKLKE8L016,,Standby,637.2,12177.5,54.6,54.5,54.3,54.3,54.4,54.6,54.2,54.3,54.9,54.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.8,382.4,376.5,0.0,0.0,0.0,0.0,0.0,0.0,220.7,222.1,218.0,50.0,0.0,1,0.0,0.0,33.4,43.2,34.0,0,34.6,54.6,54.6,54.5,54.5,54.3,54.3,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.6,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.7,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，62,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.2
GKLKE8L016,,Standby,637.2,12177.5,54.6,54.5,54.4,54.3,54.4,54.6,54.2,54.4,54.9,54.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,386.3,383.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,222.5,218.4,50.0,0.0,1,0.0,0.0,33.4,43.2,33.9,0,34.6,54.6,54.6,54.6,54.6,54.4,54.4,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.5,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，35,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.2
GKLKE8L016,,Standby,637.2,12177.5,54.6,54.5,54.4,54.3,54.4,54.6,54.2,54.3,54.9,54.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,385.8,383.6,376.4,0.0,0.0,0.0,0.0,0.0,0.0,220.4,222.6,218.4,49.9,0.0,1,0.0,0.0,33.3,43.2,33.9,0,34.6,54.6,54.6,54.5,54.5,54.4,54.4,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.7,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.8,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，1,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.2
GKLKE8L016,,Standby,637.2,12177.5,54.6,54.5,54.3,54.3,54.4,54.6,54.2,54.3,54.9,54.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,386.6,382.6,377.2,0.0,0.0,0.0,0.0,0.0,0.0,221.2,222.4,218.3,50.0,0.0,1,0.0,0.0,33.3,43.1,33.9,0,34.6,54.6,54.6,54.5,54.5,54.4,54.4,54.3,54.3,54.4,54.4,54.6,54.6,54.2,54.2,54.3,54.3,54.9,54.9,54.7,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.6,500.6,500.6,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.6,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，2,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.1
GKLKE8L016,,Standby,637.2,12177.5,54.6,54.6,54.4,54.3,54.4,54.6,54.2,54.3,55.0,54.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.4,565.5,10805.9,246.9,389.1,385.3,379.6,0.0,0.0,0.0,0.0,0.0,0.0,222.8,223.8,219.6,50.0,0.0,1,0.0,0.0,33.3,43.1,33.9,0,34.6,54.6,54.6,54.6,54.6,54.4,54.4,54.4,54.4,54.5,54.5,54.6,54.6,54.2,54.2,54.3,54.3,55.0,55.0,54.7,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,500.7,500.7,500.7,500.6,500.6,500.6,500.6,500.6,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1000,0.0,0.0,0.0,659.7,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,1，0，42，1，0，100，1，3,0，0，0，0，0，0，0，0,0.0,60546.8,97.7,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,43.1
